Garden,WholePlotID,SplitPlotID,PlantID,Cyanotype,Cyanogenesis,Ac_ac,Li_li,Precipitation,Herbivores,Survived21,Flowered21,Seeded21,FlowerHeadNumber21,SeedSetMass21,MaxArea21,GrowthRate21,Herbivory21,SurvivedWinter,Survived22,Flowered22,Seeded22,FlowerHeadNumber22,SeedSetMass22,MaxArea22,GrowthRate22,Herbivory22
Louisiana,4,2,4,acli,Acyanogenic,ac,li,Reduced,Control,0,0,0,0,0,103.93,0.03839394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Louisiana,5,1,1,acli,Acyanogenic,ac,li,Control,Reduced,1,1,1,35,0.0226,194.23,0.015946368,NA,NA,0,1,1,68,0.3845,1382.78,NA,23.2
Louisiana,5,1,2,AcLi,Cyanogenic,Ac,Li,Control,Reduced,1,1,1,37,0.0812,339.81,0.016156159,NA,NA,0,0,0,0,0,1239.72,NA,18
Louisiana,5,1,3,Acli,Acyanogenic,Ac,li,Control,Reduced,1,1,1,18,0.0207,285,0.020490966,NA,NA,1,1,1,60,0.2184,1384.54,NA,6.466666667
Louisiana,5,1,4,acLi,Acyanogenic,ac,Li,Control,Reduced,1,1,1,2,0.0127,112.08,0.018359015,NA,NA,0,1,1,9,0.047,1021.41,NA,8.2
Louisiana,5,2,1,acLi,Acyanogenic,ac,Li,Reduced,Reduced,1,1,1,21,0.0299,204.63,0.023954326,NA,NA,1,1,1,156,1.3424,2192.61,NA,10.53333333
Louisiana,5,2,2,acLi,Acyanogenic,ac,Li,Reduced,Reduced,1,1,1,5,0.0054,93.77,0.017985094,NA,NA,1,1,1,12,0.0021,1066.32,NA,9.6
Louisiana,5,2,3,acli,Acyanogenic,ac,li,Reduced,Reduced,1,1,1,77,0.1225,267.98,0.012520363,NA,NA,1,1,1,36,0.1397,2098.64,0.00191048,7.666666667
Louisiana,5,2,4,acli,Acyanogenic,ac,li,Reduced,Reduced,1,1,1,15,0.0695,165.84,0.040431777,NA,NA,1,1,1,25,0.1383,1390.61,NA,23.13333333
Louisiana,6,1,1,acLi,Acyanogenic,ac,Li,Control,Reduced,1,1,1,6,0.0072,100.16,0.014372308,NA,NA,1,1,1,30,0.2829,1303.59,0.000298985,3.2
Louisiana,6,1,2,Acli,Acyanogenic,Ac,li,Control,Reduced,1,1,1,9,0.0299,153.37,0.039647416,NA,NA,1,1,1,104,0.5416,1410.2,NA,8.466666667
Louisiana,6,1,3,AcLi,Cyanogenic,Ac,Li,Control,Reduced,1,0,0,0,0,329.97,0.011827899,NA,NA,1,1,0,12,0,1216.31,NA,5.466666667
Louisiana,6,1,4,acli,Acyanogenic,ac,li,Control,Reduced,1,1,0,2,0,62,0.031617574,NA,NA,0,1,1,107,0.5242,914.33,NA,13.33333333
Louisiana,6,2,1,Acli,Acyanogenic,Ac,li,Reduced,Control,1,0,0,0,0,211.36,0.023166527,NA,NA,0,1,1,146,0.3763,1867.17,NA,NA
Louisiana,6,2,2,acli,Acyanogenic,ac,li,Reduced,Control,1,0,0,0,0,198.23,0.014125592,NA,NA,1,1,1,36,0.1075,1031.04,NA,13.46666667
Louisiana,6,2,3,acLi,Acyanogenic,ac,Li,Reduced,Control,1,0,0,0,0,102.3,0.02516601,NA,NA,0,1,0,4,0,1584.77,NA,NA
Louisiana,6,2,4,acLi,Acyanogenic,ac,Li,Reduced,Control,1,0,0,0,0,139.29,0.010714704,NA,NA,0,1,1,2,0.0034,1012.08,NA,NA
Louisiana,7,1,1,acli,Acyanogenic,ac,li,Control,Reduced,1,1,1,35,0.1167,462.68,0.014849425,NA,NA,1,1,1,5,0.0444,867.08,NA,13.6
Louisiana,7,1,2,acLi,Acyanogenic,ac,Li,Control,Reduced,1,1,1,36,0.0322,225.26,0.020365756,NA,NA,0,0,0,0,0,504.13,NA,NA
Louisiana,7,1,3,AcLi,Cyanogenic,Ac,Li,Control,Reduced,1,1,1,4,0.0004,529.76,0.022365598,NA,NA,1,1,1,9,0.001,960.33,NA,4.666666667
Louisiana,7,1,4,Acli,Acyanogenic,Ac,li,Control,Reduced,1,1,1,84,0.5239,389.46,0.030447587,NA,NA,0,1,1,206,2.2693,1774.98,NA,11.53333333
Louisiana,7,2,1,acLi,Acyanogenic,ac,Li,Reduced,Control,1,1,1,16,0.0077,223.19,0.024370181,NA,NA,0,1,1,50,0.0073,1727.06,NA,NA
Louisiana,7,2,2,acLi,Acyanogenic,ac,Li,Reduced,Control,1,1,1,12,0.0224,150.77,0.037209822,NA,NA,0,1,1,26,0.0991,2117.63,NA,NA
Louisiana,7,2,3,Acli,Acyanogenic,Ac,li,Reduced,Control,1,0,0,0,0,265.1,0.013189131,NA,NA,0,1,1,115,0.5629,1526.2,NA,NA
Louisiana,7,2,4,acli,Acyanogenic,ac,li,Reduced,Control,1,0,0,0,0,178.07,0.017943497,NA,NA,0,1,1,55,0.14,1236.77,NA,NA
Louisiana,8,1,1,Acli,Acyanogenic,Ac,li,Control,Reduced,1,1,0,2,0,135.73,0.020859927,NA,NA,0,1,1,32,0.1735,2257.06,NA,NA
